company,job_title,status,date_applied,deadline,type,contact_person,email,application_link,resume_link,location,time_posted,num_applicants,job_id,posting_date
Sobeys,Machine Learning Engineer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4228741423,,"Toronto, Ontario, Canada",18 hours ago,58 applicants,4228741423,2025-05-16
Autodesk,Machine Learning Developer- AI/ML Platform,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4228708370,,"Toronto, Ontario, Canada",23 hours ago,,4228708370,2025-05-16
Spin Master,Data Scientist,Not Applied,,,Full-time,our Talent Acquisition,TAinquiries@spinmaster.com,https://www.linkedin.com/jobs/view/4229477879,,"Toronto, Ontario, Canada",5 hours ago,64 applicants,4229477879,2025-05-16
Citi,AI/ML Engineer - Senior Analyst - C12,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4216701771,,"Mississauga, Ontario, Canada",10 hours ago,,4216701771,2025-05-16
Definity,AI Data Engineer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4197126069,,"Toronto, Ontario, Canada",14 hours ago,,4197126069,2025-05-16
Prologis,Senior Data Scientist,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4213901525,,"Toronto, Ontario, Canada",10 hours ago,35 applicants,4213901525,2025-05-16
Autodesk,Engineer Manager – AI & ML Platform,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4181207369,,"Toronto, Ontario, Canada",14 hours ago,,4181207369,2025-05-16
Warner Music Group,Staff Machine Learning Engineer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4230408916,,"Toronto, Ontario, Canada",3 hours ago,49 applicants,4230408916,2025-05-16
Autodesk,"Principal Data Scientist, Generative AI",Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4157578176,,"Toronto, Ontario, Canada",14 hours ago,,4157578176,2025-05-16
Autodesk,"Principal Data Scientist, Generative AI",Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4228703995,,"Toronto, Ontario, Canada",23 hours ago,,4228703995,2025-05-16
