company,job_title,status,date_applied,deadline,type,contact_person,email,application_link,resume_link,location,time_posted,num_applicants,job_id,posting_date
Stripe,"Machine Learning Engineer, Support Experience",Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4201333630,,"Toronto, Ontario, Canada",1 hour ago,,4201333630,2025-05-17
Evident,Machine Learning Engineer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4229549100,,"Vancouver, British Columbia, Canada",9 hours ago,35 applicants,4229549100,2025-05-17
Lambton College,Associate Faculty - Artificial Intelligence and Machine Learning Program (Ottawa Campus),Not Applied,,,Part-time,,,https://www.linkedin.com/jobs/view/4229798119,,"Ottawa, Ontario, Canada",7 hours ago,,4229798119,2025-05-17
Ideogram,Machine Learning Engineer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4231776552,,"Toronto, Ontario, Canada",15 hours ago,,4231776552,2025-05-17
Bree,Product Data Scientist,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4231799436,,"Toronto, Ontario, Canada",14 hours ago,65 applicants,4231799436,2025-05-17
Autodesk,AI Research Scientist: AEC. Remote US or Canada,Not Applied,,,Full-time,Autodesk Careers,,https://www.linkedin.com/jobs/view/4158756202,,"Vancouver, British Columbia, Canada",5 hours ago,26 applicants,4158756202,2025-05-17
Bally's Interactive,Machine Learning Developer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4198390855,,"Toronto, Ontario, Canada",3 hours ago,29 applicants,4198390855,2025-05-17
Posterity Group,Data Scientist/Engineer,Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4232002687,,"Ottawa, Ontario, Canada",14 hours ago,81 applicants,4232002687,2025-05-17
Dandy,Data Analyst II (Canada),Not Applied,,,Full-time,,,https://www.linkedin.com/jobs/view/4217639319,,Canada,2 hours ago,146 applicants,4217639319,2025-05-17
Farm Mutual Re,Data Scientist,Not Applied,,,Full-time,,recruitment@farmmutualre.com,https://www.linkedin.com/jobs/view/4229243850,,"Cambridge, Ontario, Canada",23 hours ago,115 applicants,4229243850,2025-05-17
Spin Master,Data Scientist,Not Applied,,,Full-time,our Talent Acquisition,TAinquiries@spinmaster.com,https://www.linkedin.com/jobs/view/4229477879,,"Toronto, Ontario, Canada",20 hours ago,110 applicants,4229477879,2025-05-17
Lambton College,"Research Assistant - Strong Allies, Stronger Communities (RPT)",Not Applied,,,Part-time,,,https://www.linkedin.com/jobs/view/4229795537,,"Sarnia, Ontario, Canada",7 hours ago,,4229795537,2025-05-17
CPP Investments | Investissements RPC,"Intern Analyst, Quantitative Models, Research",Not Applied,,,Full-time,candidates selected to,,https://www.linkedin.com/jobs/view/4229258397,,"Toronto, Ontario, Canada",21 hours ago,68 applicants,4229258397,2025-05-17
